# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       92.434     8198.637
       1.001       59.900      481.473     8198.637
       2.003       60.900      873.863     8198.637
       3.005       60.900     1261.355     8198.637
       4.007       60.900     1648.332     8198.637
       5.008       58.900     2017.004     8198.637
       6.010       60.900     2390.832     8198.637
       7.012       60.900     2772.910     8198.637
       8.013       60.900     3149.832     8198.637
       9.015       61.900     3529.332     8198.637
      10.017       62.900     3909.863     8198.637
      11.019      694.900     4402.020     8766.695
      12.020     1464.700     5064.309     8766.695
      13.022      467.200     5876.160     8830.695
      14.023      388.400     6406.445     8830.695
      15.025      252.600     6556.203     8830.695
      16.026      377.400     6733.551     8830.695
      17.028      344.400     7001.965     8830.695
      18.030      274.600     7239.328     8830.695
      19.031      221.600     7400.836     8830.695
      20.033      204.700     7507.148     8830.695
      21.035      191.700     7611.762     8830.695
      22.036      216.700     7760.934     8830.695
      23.038      155.800     7891.477     8830.695
      24.039      154.700     7990.016     8830.695
      25.041      119.800     8029.871     8830.695
      26.042      118.800     8062.152     8830.695
      27.044      137.800     8105.254     8830.695
      28.046      146.800     8133.996     8830.695
      29.047      116.800     8193.965     8742.652
      30.049       16.000     8193.965     8742.652
      31.051       17.000     8193.965     8742.652
      32.052       19.000     8193.965     8742.652
      33.054       20.000     8193.965     8742.652
      34.055       41.900     8193.965     8742.652
      35.057      658.900     8194.055     8830.695
      36.059      299.500     8194.055     8830.695
      37.060      202.700     8194.055     8830.695
      38.062      140.800     8194.055     8830.695
      39.064      112.800       13.789     4646.652
      40.065       65.900      433.250     4646.652
      41.067       64.900      859.672     4646.652
      42.069       66.900     1294.086     4646.652
      43.070       63.900     1710.969     4646.652
      44.072       61.900     2100.781     4646.652
      45.074       61.900     2510.961     4646.652
      46.075       60.900     2898.195     4646.652
      47.077       99.800     4568.301     8742.656
      48.079       99.800     5345.605     8742.656
      49.080       99.800     5345.605     8742.656
      50.082       99.800     5345.605     8742.656
      51.083      100.800     5345.605     8742.656
      52.085       84.900        1.977      550.648
      53.087        5.000        1.977      550.648
      54.088        5.000        1.977      550.648
      55.090        4.000        1.977      550.648
      56.092        4.000        1.977      550.648
      57.093        6.000        1.977      550.648
      58.095        5.000        1.977      550.648
      59.097        5.000        1.977      550.648
      60.098        5.000        1.977      550.648
      61.100        4.000        1.977      550.648
      62.102        5.000        1.977      550.648
      63.103        5.000        1.977      550.648
      64.105        6.000        1.977      550.648
      65.107        7.000        1.977      550.648
      66.108        8.000        1.977      550.648
      67.110       10.000        1.977      550.648
      68.112       11.000        1.977      550.648
      69.113       10.000        1.977      550.648
      70.115        8.000        1.977      550.648
