# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000      105.875     8198.637
       1.001       61.900      488.727     8198.637
       2.003       60.900      873.641     8198.637
       3.005       63.900     1262.422     8198.637
       4.007      803.700     2001.574     8830.695
       5.008      252.600     2308.113     8830.695
       6.010      184.700     2482.395     8830.695
       7.012      169.700     2617.230     8830.695
       8.013       75.900        1.945      550.648
       9.015       13.000        1.945      550.648
