# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
     139.206     1439.100     8639.555    15168.133
     140.207     1341.100     8639.559    15168.133
     141.209     1791.300     8639.559    15168.133
     142.210     1781.400     8639.559    15168.133
     143.212     1949.300     8639.570    15168.133
     144.213     1894.200     8639.570    15168.133
     145.214     1878.500     8639.570    15168.133
     146.215     1568.600     8639.582    15168.133
     147.217     1597.200     8639.582    15168.133
     148.218     1794.500     8639.582    15168.133
     149.219     2001.200     8639.582    15168.133
     150.221     2321.200     8639.582    15168.133
     151.222     2116.100     8639.582    15168.133
     152.223     1942.200     8639.586    15168.133
     153.225     1732.800     8639.586    15168.133
     154.226     1595.800     8639.586    15168.133
     155.227     1623.700     8639.836    15168.133
     156.229     1313.400     8639.840    15168.133
     157.230     1896.400     8639.840    15168.133
     158.231     1597.900     8639.840    15168.133
     159.233     1683.700     8639.844    15168.133
     160.234     1770.600     8639.844    15168.133
     161.235     1828.500     8639.844    15168.133
     162.237     1719.900     8639.848    15168.133
     163.238     1444.000     8639.848    15168.133
     164.239     1939.300     8639.848    15168.133
     165.241     1918.400     8639.855    15168.133
     166.242     1956.200     8639.855    15168.133
     167.243     2020.200     8639.855    15168.133
     168.245     1626.200     8639.855    15168.133
     169.246     1638.800     8639.855    15168.133
     170.247     1737.500     8639.855    15168.133
     171.249     1900.600     8639.855    15168.133
     172.250     1626.700     8639.855    15168.133
     173.251     1801.400     8639.855    15168.133
     174.253     2162.600     8639.875    15168.133
     175.254     2004.200     8639.875    15168.133
     176.255     2027.200     8639.875    15168.133
     177.257     2274.200     8639.875    15168.133
     178.258     2271.900     8639.875    15168.133
     179.259     1641.800     8639.887    15168.133
     180.261     1630.900     8639.887    15168.133
     181.262     2114.900     8639.887    15168.133
     182.264     2152.900     8639.891    15168.133
     183.265     2217.000     8639.891    15168.133
     184.267     2328.700     8639.891    15168.133
     185.268     2184.900     8639.891    15168.133
     186.269     2150.900     8639.891    15168.133
     187.270     2304.600     8639.891    15168.133
     188.272     2125.000     8639.891    15168.133
     189.273     2455.400     8639.891    15168.133
     190.274     2029.200     8639.891    15168.133
     191.275     2060.800     8639.891    15168.133
     192.277     2040.700     8639.891    15168.133
     193.278     1904.100     8639.891    15168.133
     194.280     2200.600     8639.891    15168.133
     195.281     2180.100     8639.891    15168.133
     196.282     2244.800     8639.891    15168.133
     197.283     2134.700     8639.891    15168.133
     198.285     2133.800     8639.891    15168.133
     199.286     2224.900     8639.891    15168.133
     200.287     2261.900     8639.891    15168.133
     201.289     2078.500     8639.891    15168.133
     202.290     2175.100     8639.891    15168.133
     203.291     2116.100     8639.891    15168.133
     204.293     2401.800     8639.891    15168.133
     205.294     1803.600     8639.891    15168.133
     206.295     2123.100     8639.891    15168.133
     207.297     2065.300     8639.891    15168.133
     208.298     1915.400     8639.895    15168.133
     209.299     1907.500     8639.895    15168.133
     210.301     2007.300     8639.895    15168.133
     211.302     2094.100     8639.895    15168.133
     212.303     2195.000     8639.898    15168.133
     213.305     2307.100     8639.898    15168.133
     214.306     2241.900     8639.898    15168.133
     215.307     2225.000     8639.898    15168.133
     216.309     2154.000     8639.898    15168.133
     217.310     2211.000     8639.898    15168.133
     218.311     2253.500     8639.898    15168.133
     219.313     2368.600     8639.898    15168.133
     220.314     2264.900     8639.898    15168.133
     221.315     2146.100     8639.898    15168.133
     222.317     2270.200     8639.969    15168.133
     223.318     2184.000     8639.969    15168.133
     224.319     2225.900     8639.969    15168.133
     225.321     2226.300     8639.969    15168.133
     226.322     2405.800     8640.047    15168.133
     227.323     2257.000     8640.047    15168.133
     228.325     2406.800     8640.047    15168.133
     229.326     2220.000     8640.047    15168.133
     230.327     2047.200     8640.047    15168.133
     231.329     2168.300     8640.047    15168.133
     232.330     2177.100     8640.047    15168.133
     233.331     2069.200     8640.047    15168.133
     234.333     2365.600     8640.047    15168.133
     235.334     2309.600     8640.047    15168.133
     236.336     2201.900     8640.047    15168.133
     237.337     2235.700     8640.047    15168.133
     238.338     2123.200     8640.047    15168.133
     239.339     2326.600     8640.047    15168.133
