# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       39.039    10666.289
       1.001     1735.300     1894.195    15546.086
       2.003     1834.900     4516.715    15741.109
       3.004     1806.400     5388.680    16066.148
       4.006     1731.300     6489.039    16196.164
       5.007     1745.100     6906.820    16326.180
       6.009     1772.000     7418.543    16326.180
       7.011     1852.100     7451.711    16328.195
       8.012     1745.500     7650.691    16328.195
       9.013     1707.500     7651.715    16460.227
      10.015     1952.100     7718.395    16915.281
      11.016     2262.700     7959.242    16915.281
      12.018     2295.600     8032.602    16917.297
      13.019     2258.700     8120.945    16917.297
      14.021     2335.600     8268.945    16917.297
      15.022     2356.500     8332.523    16917.297
      16.024     2458.900     8420.246    16917.297
      17.025     2526.200     8452.457    16917.297
      18.027     2573.300     8541.875    16917.297
      19.028     2628.900     8565.148    16917.297
      20.030     2539.200     8572.902    16917.297
      21.031     2820.800     8582.977    17016.555
      22.032     2617.200     8632.004    16917.297
      23.034     2624.900     8632.785    16917.297
      24.035     2839.800     8637.230    16981.297
      25.036     2896.100     8640.234    16981.297
      26.038     2888.800     8640.578    16981.297
      27.039     2956.400     8640.629    16981.297
      28.040     2951.400     8641.383    16981.297
      29.042     2840.400     8641.398    16981.297
      30.043     3146.600     8641.441    16981.297
      31.045     2345.900     8642.961    16981.297
      32.046     2236.900     8643.129    16981.297
      33.048     2090.000     8644.086    16981.297
      34.048     2015.800     8644.316    16981.297
      35.049     2281.800     8644.512    16981.297
      36.051     2088.000     8644.512    16981.297
      37.052     2194.200     8644.703    16981.297
      38.054     2061.700     8646.281    16981.297
      39.055     2218.600     8646.281    16981.297
      40.057     2118.100     8646.477    16981.297
      41.058     2422.600     8646.523    16981.297
      42.060     2441.600     8646.969    16981.297
      43.061     2534.500     8646.969    16981.297
      44.062     2429.400     8648.258    16981.297
      45.064     2812.600     8648.773    16981.297
      46.065     2768.500     8649.723    16981.297
      47.067     2900.800     8649.723    16981.297
      48.068     2795.000     8649.727    16981.297
      49.070     2779.000     8649.727    16981.297
      50.071     3038.700     8649.730    16981.297
      51.073     2994.900     8649.801    16981.297
      52.075     2924.500     8649.801    16981.297
      53.076     3157.900     8649.801    16981.297
      54.078     2356.300     8649.949    16981.297
      55.079     2134.800     8650.051    16981.297
      56.081     2012.200     8650.602    16981.297
      57.082     2150.100     8650.742    16981.297
      58.083     2054.200     8650.898    16981.297
      59.085     1983.200     8655.504    16981.297
      60.086     2168.000     8655.504    16981.297
      61.088     1942.000     8657.719    16981.297
      62.089     2163.600     8657.719    16981.297
      63.091     1902.300     8657.844    16981.297
      64.092     2333.800     8658.414    16981.297
      65.093     2351.700     8658.414    16981.297
      66.095     2464.600     8658.660    16981.297
      67.096     2395.500     8658.660    16981.297
      68.098     2690.300     8659.508    16981.297
      69.100     2597.000     8659.508    16981.297
      70.101     2909.900     8659.887    16981.297
      71.102     2872.900     8659.887    16981.297
      72.104     2962.000     8659.887    16981.297
      73.106     2975.300     8660.125    16981.297
      74.107     2878.900     8660.125    16981.297
      75.109     3044.600     8660.125    16981.297
      76.110     3111.500     8660.125    16981.297
      77.111     2883.900     8660.074    16981.297
      78.113     2292.400     8660.074    16981.297
      79.114     2083.500     8660.074    16981.297
      80.116     1884.800     8660.336    16981.297
      81.118     2002.600     8661.246    16981.297
      82.119     2084.800     8661.246    16981.297
      83.121     1810.400     8661.246    16981.297
      84.122     2101.900     8661.445    16981.297
      85.124     1816.100     8661.508    16981.297
      86.125     2059.000     8661.508    16981.297
      87.127     2100.200     8661.559    16981.297
      88.128     2256.700     8661.559    16981.297
      89.130     2226.600     8661.609    16981.297
      90.131     2355.700     8661.609    16981.297
      91.133     2714.900     8662.031    16981.297
      92.134     2458.300     8662.676    16981.297
      93.136     2850.500     8663.074    16981.297
      94.137     2822.200     8663.074    16981.297
      95.139     2925.500     8663.074    16981.297
      96.140     3004.800     8663.082    16981.297
      97.142     3004.200     8663.082    16981.297
      98.144     3018.400     8663.082    16981.297
      99.145     2888.500     8663.086    16981.297
     100.147     3100.200     8663.102    16981.297
     101.148     2965.700     8663.039    16981.297
