# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       35.305    34001.305
       1.001     1179.300     1371.164    38751.086
       2.003     1379.900     2813.438    38751.086
       3.004     1415.900     3635.703    38751.086
       4.006     1297.100     5068.348    38751.086
       5.007     1381.900     5944.016    38751.086
       6.009     1283.900     8172.523    38751.086
       7.011     1376.700     8212.770    38752.094
       8.012     1189.000     8961.734    38752.094
       9.014     1190.000     9879.246    38752.094
      10.016     1091.200    11569.141    38752.094
      11.017     1051.300    11564.910    38752.094
      12.019     1197.000    11582.027    38762.172
      13.020     1223.100    11614.320    38762.172
      14.022      893.600    11629.184    38762.172
      15.024     1162.200    11647.535    38762.172
      16.025     1063.300    13704.137    38762.172
      17.027      881.500    13717.281    38762.172
      18.029      861.600    13744.285    38762.172
      19.030      879.700    13761.301    38762.172
      20.031     1314.000    13959.586    38763.180
      21.033      754.800    13959.770    38763.180
      22.035      715.000    13959.805    38763.180
      23.036      650.100    13959.777    38763.180
      24.037      863.900    14004.543    38763.180
      25.039      798.800    14651.152    38763.180
      26.040      565.100    14675.199    38763.180
      27.042      504.200    14690.156    38763.180
      28.043      743.900    14979.309    38763.180
      29.045      720.800    15476.457    38763.180
      30.047      397.300    15488.809    38763.180
      31.048      412.300    15514.773    38763.180
      32.050      332.500    15527.035    38763.180
      33.051      621.000    16033.867    38763.180
      34.053      251.600    16049.785    38763.180
      35.055      252.600    16065.574    38763.180
      36.056      175.700    16083.043    38763.180
      37.058      625.100    16519.145    38763.180
      38.059      145.800    16519.098    38763.180
      39.061       99.800    16519.133    38763.180
      40.063      101.800    16519.137    38763.180
      41.064      832.800    16530.754    38827.180
      42.066      894.800    16530.805    38827.180
      43.067      803.800    16530.961    38827.180
      44.069      509.200    16531.770    38827.180
      45.070      483.300    16532.020    38827.180
      46.071      432.400    16532.031    38827.180
      47.073      399.400    16532.031    38827.180
      48.074      414.400    16532.031    38827.180
      49.076      336.500    16531.805    38827.180
      50.078      199.700    16531.930    38827.180
      51.079      267.600    16531.934    38827.180
      52.081      200.700    16531.934    38827.180
      53.082      202.700    16531.938    38827.180
      54.084      200.700    16531.949    38827.180
      55.085      211.700    16531.949    38827.180
      56.087      199.700    16531.949    38827.180
      57.089      200.700    16531.949    38827.180
      58.090      208.700    16531.949    38827.180
      59.091      174.900    16531.914    38827.180
      60.093       95.800    16531.918    38827.180
      61.094       99.800    16531.918    38827.180
      62.096      101.800    16531.918    38827.180
      63.097      169.700    16531.922    38827.180
      64.099      116.800    16531.922    38827.180
      65.100       99.800    16531.922    38827.180
      66.102      100.800    16531.922    38827.180
      67.103       99.900    16531.922    38827.180
      68.105       99.800    16531.922    38827.180
      69.106      100.800    16531.922    38827.180
      70.108      100.800    16531.922    38827.180
      71.110      127.800    16531.922    38827.180
      72.111      100.800    16531.922    38827.180
      73.113       99.800    16531.922    38827.180
      74.115      100.800    16531.922    38827.180
      75.116       99.800    16531.922    38827.180
      76.118       99.800    16531.922    38827.180
      77.119      101.800    16531.922    38827.180
      78.121       99.800    16531.922    38827.180
      79.122       99.800    16531.922    38827.180
      80.124      101.800    16531.922    38827.180
      81.125       99.900    16768.754    38827.180
      82.127      114.800    17450.465    38827.180
      83.129       97.800    17450.465    38827.180
      84.130       89.900    17450.465    38827.180
      85.132       48.900    17450.465    38827.180
      86.133       11.000    17450.465    38827.180
      87.135        3.000    17450.465    38827.180
      88.137        9.000    17450.465    38827.180
      89.138        4.000    17450.465    38827.180
      90.140       10.000    17450.465    38827.180
      91.142        4.000    17450.465    38827.180
      92.143       10.000    17450.465    38827.180
      93.145        3.000    17450.465    38827.180
      94.147       11.000    17450.465    38827.180
      95.148        3.000    17450.465    38827.180
      96.150       11.000    17450.465    38827.180
      97.151        4.000    17450.465    38827.180
      98.153        8.000    17450.465    38827.180
      99.155        4.000    17450.465    38827.180
     100.156       10.000    17450.465    38827.180
     101.158        7.000    17450.465    38827.180
