# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       37.984    34261.320
       1.001     1690.600     1948.605    38168.051
       2.003     1803.400     3596.277    38426.059
       3.004     1508.700     5731.305    38426.059
       4.006     1112.200     6866.703    38428.074
       5.008      580.000     7201.438    38428.074
       6.009      750.900     7310.086    38428.074
       7.011      838.700     9127.910    38428.074
       8.012      416.300     9318.961    38428.074
       9.014      400.400    12106.891    38428.074
      10.016      197.600    12196.434    38428.074
      11.017      201.700    13447.758    38428.074
      12.019      200.700    15090.605    38428.074
      13.020      168.700    16440.016    38428.074
      14.022      100.800    17292.266    38428.074
      15.023      100.800    18131.027    38428.074
      16.025      172.700    18503.148    38428.074
      17.027       99.800    18503.148    38428.074
      18.028      100.800    18507.125    38428.074
      19.030       85.900    18507.125    38428.074
      20.031       12.000    18507.125    38428.074
      21.033       15.000    18507.125    38428.074
